submission_date,state,tot_cases,tot_death
10/9/20,WV,17707,376
10/15/21,TX,4156151,67477
3/20/21,OH,998819,18347
12/1/20,OK,224834,3001
8/4/21,TN,905491,12783
1/8/22,CO,1076024,10425
6/14/20,NY,173446,8502
11/21/20,GA,446804,9179
6/20/20,FL,94875,3289
1/7/21,OK,350724,4951
2/10/21,UT,357339,1765
1/26/21,AL,446987,9275
12/9/21,GU,19303,267
8/22/22,GU,57441,389
3/8/22,TN,2010744,24732
9/16/21,FL,3500298,55727
10/11/21,HI,79093,840
7/20/22,TX,7325409,87458
5/27/20,NYC,203743,21944
8/3/22,MP,12732,38
10/13/21,MS,497379,9907
8/3/21,PW,2,0
5/7/22,PW,4732,6
8/25/22,NY,3150504,28775
11/17/21,AR,521553,8595
1/6/22,OK,737593,11650
4/21/22,ND,240657,2260
8/13/22,UT,1020130,4940
2/17/20,AR,0,0
7/16/21,RMI,4,0
2/14/22,NYC,2265769,39417
12/22/21,UT,622414,3749
2/14/20,PW,0,0
2/5/21,PW,0,0
7/31/21,AS,0,0
3/7/21,AS,4,0
6/11/20,ND,2980,74
3/1/21,AL,493122,10598
2/13/21,TN,747832,10893
1/12/21,SD,103743,1585
7/29/20,TX,403307,9452
11/9/21,AL,834036,16265
5/5/20,AR,3496,83
9/2/20,PA,141498,7712
5/4/22,AS,5873,27
3/13/21,WV,135149,2519
9/16/22,MS,922493,12853
5/22/22,OH,2743577,38590
4/10/22,MS,795824,12413
12/6/21,AL,847834,16496
4/20/21,WA,387378,5407
2/5/22,NY,2581080,26247
3/17/20,AR,24,0
8/8/21,HI,44609,539
11/19/21,AS,5,0
5/22/20,AS,0,0
6/22/20,AK,767,16
7/1/20,UT,23386,175
7/28/20,HI,1840,26
10/21/20,AK,11682,95
3/30/22,OH,2669698,37793
1/13/22,NY,2322549,24502
6/9/20,FL,65367,2930
4/13/20,CO,7906,308
5/18/20,SD,4027,44
3/8/20,IA,3,0
8/21/21,SD,128405,2057
8/28/22,GA,2852706,39632
3/11/21,PW,0,0
5/10/22,MA,1792722,20357
8/29/22,SD,256255,2984
10/13/21,TN,1256128,15734
1/3/21,MA,387662,12821
9/13/22,ND,266273,2354
10/13/21,KS,421462,6151
1/27/20,FL,0,0
11/9/20,OK,155069,2161
3/18/20,AS,0,0
10/3/22,TX,7876824,89234
2/7/21,GA,940991,15092
12/31/21,ND,174626,2012
3/22/20,WA,1739,95
8/13/20,HI,4512,38
5/15/20,PW,0,0
8/27/20,PA,136790,7635
5/21/22,SD,239110,2919
6/19/21,UT,411322,2328
11/5/20,TX,1008438,20137
12/29/20,MS,216131,5521
1/29/20,TX,0,0
3/10/20,GU,0,0
10/29/20,SD,43000,403
3/10/22,KS,768422,8003
12/12/20,PR,65221,1261
9/27/22,OH,3131645,39767
12/22/21,WV,317540,5242
8/21/22,AR,922679,11861
8/29/20,OH,121340,4126
9/17/21,RMI,4,0
4/12/21,SD,119892,1947
7/19/20,PA,105807,7018
4/21/21,IN,710607,13221
9/29/21,AK,108608,546
9/23/20,AL,146267,3882
10/12/20,IA,100194,1472
4/6/20,AR,915,16
7/8/22,KS,812329,8961
9/13/21,AR,475647,7298
6/9/21,RMI,4,0
